Location Type,Location Name,Detail,Latitude,Longitude,
Facilities,Bar,Primera planta,53.343080,-6.28489,
Facilities,Zona de fumadores,,53.346540,-6.28745,
Facilities,Área de fumadores,,53.344490,-6.28912,
Facilities,Baños oficinas,Baños para los empleados de oficinas,53.34446,-6.28882,
Facilities,Baños,,53.34416,-6.28818,
Fire Assembly Point,Parque,"Parque",53.343920,-6.28843,
Fire Assembly Point,Punto de encuentro,Encuentro en caso de incendio,53.345050,-6.28491,
Logistics Area,Elevación de cargas,,53.3443304,-6.2901959,
Logistics Area,Campo,,53.3451886,-6.2909576,
Logistics Area,Zona de exportaciones,,53.345210,-6.28928,
Logistics Area,Cookes Lane,,53.3452797,-6.2872582,
Logistics Area,Devanning Area,,53.3462404,-6.2878536,
Logistics Area,Parking almacén exportaciones,,53.3457671,-6.2895765,
Logistics Area,Frente,,53.3463974,-6.288138,
Logistics Area,LA,,53.3464614,-6.2902676,
Logistics Area,Lambscourt,,53.344055,-6.2903622,
Logistics Area,Nuevo almacén de exportaciones,,53.34598332,-6.288442408,
Logistics Area,Nuevo Frente,,53.3458754,-6.2902569,
Logistics Area,Parking de camiones,,53.3445287,-6.289581,
Logistics Area,Straddle Carrier,,53.346020,-6.28881,
Logistics Area,Oficinas de cadena de suministro,,53.344440,6.28879,
Logistics Area,Tanker Station,,53.3454078,-6.2856381,
Logistics Area,Watling Street,,53.3460675,-6.2852841,
Site Access,Puerta 112,,53.343660,-6.28792,
Site Access,Puerta 6,,53.346610,-6.28927,
Site Access,Puerta 1,Check in de visitantes,53.343310,-6.28462,
